nom_entreprise,url,secteur,email,trafic_mensuel
Boulangerie RB,https://boulangerie-rb.fr/,Boulangerie,,
Boulangerie Cedric et Maryline,https://www.boulangerie-cedricetmaryline.fr/,Boulangerie,,
Boulangerie Murgia,https://www.boulangerie-murgia.fr/,Boulangerie,,
Maison Fivel,https://www.boulangerie-fivel.fr/,Boulangerie,,
LO Restaurant,https://lo-restaurant.fr/,Restauration,,
Temis Yuki,https://temisyuki.fr/,Restauration,,
Le Saint-Pierre,https://www.restaurant-saintpierre.com/,Restauration,,
Restaurant 1802,https://www.restaurant-1802.fr/fr/,Restauration,,
FA2I,https://fa2i.com/,Plomberie chauffage,,
"Bole & Fils",https://www.bole-energies.fr/,Plomberie chauffage,,
Etablissements Paillard,https://www.ets-paillard.com/,Plomberie chauffage,,
Marc Thommeret,https://www.marc-thommeret.com/,Plomberie chauffage,,
Rodrigues Plombier Chauffagiste,https://www.rodrigues-plombier-chauffagiste.fr/,Plomberie chauffage,,
Garage Marcand,https://www.garagemarcand.fr/,Automobile,,
Etienne Automobiles,https://etienne-automobiles.fr/,Automobile,,
Electric Auto Simonin,https://www.electricautosimonin.com/,Automobile,,
